"pid3","weight","bias_wsj","bias_pbs","bias_npr","bias_cbs","bias_usa","bias_abc","bias_drg","bias_fox","bias_huf","bias_nyt"
"Democrat ",0.647104414750633,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",1.16183159702502,"3","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","3","4 - No bias at all"
"Not sure",1.32762167737989,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.616430052993772,"5","2","1 - Liberal or pro-Democratic party bias","2","2","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","2","1 - Liberal or pro-Democratic party bias"
"Democrat ",1.50294581095031,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Democrat ",1.12760620064093,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Not sure",1.21451063980425,"4 - No bias at all","3","2","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias","5","4 - No bias at all","6","3","5"
"Democrat ",1.12760620064093,"5","3","6","5","3","3","3","7 - Conservative or pro-Republican party bias","3","3"
"Other ",1.27651652916627,"4 - No bias at all","1 - Liberal or pro-Democratic party bias","6","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","2","1 - Liberal or pro-Democratic party bias"
"Republican ",1.32435561309879,"4 - No bias at all","5","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","3","3","5","4 - No bias at all"
"Independent ",1.32435561309879,"3","4 - No bias at all","1 - Liberal or pro-Democratic party bias","4 - No bias at all","4 - No bias at all","4 - No bias at all","3","7 - Conservative or pro-Republican party bias","1 - Liberal or pro-Democratic party bias","7 - Conservative or pro-Republican party bias"
"Independent ",1.27651652916627,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Democrat ",0.871680471352189,"4 - No bias at all","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","3","4 - No bias at all","7 - Conservative or pro-Republican party bias","4 - No bias at all","4 - No bias at all"
"Democrat ",0.53814555223298,"7 - Conservative or pro-Republican party bias","4 - No bias at all","5","7 - Conservative or pro-Republican party bias","6","5","5","7 - Conservative or pro-Republican party bias","4 - No bias at all","5"
"Independent ",0.680141823754453,"3","3","3","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","3"
"Democrat ",1.27651652916627,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Not sure",1.32762167737989,"2","2","2","3","2","3","3","3","3","4 - No bias at all"
"Democrat ",1.27651652916627,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Independent ",0.819867757562202,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","6","4 - No bias at all","2"
"Democrat ",1.05896624448484,"6","2","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","5","7 - Conservative or pro-Republican party bias","6","4 - No bias at all"
"Not sure",1.35591374398098,"4 - No bias at all","4 - No bias at all","6","6","3","3","5","4 - No bias at all","3","3"
"Republican ",0.609212411329635,"2","2","1 - Liberal or pro-Democratic party bias","1 - Liberal or pro-Democratic party bias","4 - No bias at all","1 - Liberal or pro-Democratic party bias","2","7 - Conservative or pro-Republican party bias","2","2"
"Republican ",1.24680632386779,"3","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","3","4 - No bias at all","4 - No bias at all","4 - No bias at all"
"Republican ",0.734366857192731,"4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all","4 - No bias at all"
